IsPrivate,IsVerified,HasProfilePic,FollowingCount,FollowerCount,LikesCount,HasInstagram,HasYoutube,HasBio,HasLinkInBio,HasPosts,PostsCount,FollowToFollowerRatio,IsBot
0,0,1,86,4,0,0,0,0,0,0,0,21.5,0
0,0,1,158,13,8,0,0,0,0,1,1,12.153846153846152,1
0,0,1,212,12,6,0,1,1,0,0,0,17.666666666666668,0
0,0,1,34,11,0,0,0,0,0,0,0,3.090909090909091,0
1,0,1,246,22,0,0,0,0,0,0,0,11.181818181818182,0
0,0,1,253,2100000,37400000,1,0,1,0,1,20,1.204761904761E-4,0
0,0,1,833,42,13,0,0,0,0,1,2,19.83333333333333,1
0,0,1,517,354,0,0,0,1,0,0,0,1.46045197740113,0
0,0,1,703,25,0,0,0,0,0,0,0,28.12,1
0,0,1,492,5642,39100,1,0,1,0,1,20,0.0872031194611839,0
0,0,1,274,19,0,0,0,0,0,0,0,14.421052631578949,1
0,0,1,52,43100,238100,1,1,1,0,1,20,0.0012064965197215,0
0,0,1,68,0,0,0,0,0,0,0,0,0.0,1
0,0,1,667,14,0,0,0,0,0,0,0,47.642857142857146,1
0,0,1,131,169,0,0,0,0,0,0,0,0.7751479289940828,0
0,0,1,140,1,0,0,0,1,0,0,0,140.0,1
0,0,1,1810,71,0,0,0,0,0,0,0,25.492957746478872,1
0,0,1,444,448,808,0,0,1,0,1,12,0.9910714285714286,1
0,0,1,25,0,0,0,0,1,0,0,0,0.0,1
0,0,1,0,6711,119200,1,0,1,0,1,20,0.0,0
0,0,1,2112,1638,1170,0,0,1,0,1,20,1.2893772893772897,1
0,0,1,188,1,0,0,0,0,0,0,0,188.0,1
0,0,1,92,0,0,0,0,1,0,0,0,0.0,1
0,0,1,2559,374,395,0,0,1,0,1,4,6.842245989304812,1
0,0,1,422,1700000,25900000,1,1,1,0,1,20,2.482352941176E-4,0
0,1,1,7,2000000,60600000,1,0,1,0,1,20,3.5E-6,0
0,0,1,588,42,0,0,0,0,0,0,0,14.0,1
0,0,1,671,35,0,0,0,0,0,1,4,19.17142857142857,1
1,0,1,183,264,467,0,0,0,0,0,0,0.6931818181818182,0
0,0,1,357,83,1674,0,0,1,0,1,20,4.301204819277109,0
0,0,1,4,17,0,1,0,1,0,0,0,0.2352941176470588,0
0,0,1,28,345,69,1,0,1,0,1,1,0.081159420289855,0
0,0,1,706,651,11600,1,0,1,0,1,20,1.084485407066052,0
0,0,1,66,232100,1700000,1,0,1,0,1,20,2.843601895734E-4,0
0,0,1,378,6,0,0,0,0,0,0,0,63.0,1
0,0,1,362,2,0,0,0,0,0,0,0,181.0,1
0,0,1,3134,132,0,0,0,0,0,0,0,23.74242424242424,1
0,0,1,887,39,0,0,0,0,0,0,0,22.743589743589745,1
0,0,1,164,10300,4375,1,0,1,0,1,20,0.0159223300970873,0
0,0,1,179,12,117,0,0,0,0,1,17,14.916666666666666,1
1,0,1,60,9,0,0,0,0,0,0,0,6.666666666666667,0
0,1,1,1,8400000,185800000,1,1,1,0,1,3,1.1904761904761904E-7,0
0,0,1,1549,20800,1300000,0,0,1,0,1,20,0.0744711538461538,0
0,0,0,30,4,13,0,0,0,0,1,1,7.5,0
0,0,1,264,131,20,0,0,1,0,1,1,2.015267175572519,1
0,0,1,200,151,1372,1,0,1,0,1,3,1.3245033112582782,0
0,0,0,0,0,0,0,0,1,0,0,0,0.0,1
0,0,1,347,5,0,0,0,0,0,0,0,69.4,1
0,0,1,428,0,0,0,0,0,0,1,1,0.0,1
0,0,1,101,0,0,0,0,1,0,0,0,0.0,1
0,0,1,22,1,0,0,0,0,0,0,0,22.0,0
0,0,0,0,9,0,0,0,0,0,0,0,0.0,1
0,0,1,1840,270,0,0,0,0,0,0,0,6.814814814814815,0
0,0,1,379,8,0,0,0,0,0,0,0,47.375,1
0,0,1,793,27,0,0,0,0,0,0,0,29.37037037037037,1
0,0,1,1353,132,326,0,0,1,0,1,20,10.25,1
0,0,1,366,3,0,0,0,0,0,0,0,122.0,1
0,0,1,149,0,0,0,0,1,0,0,0,0.0,1
0,0,1,36,13,0,0,0,1,0,0,0,2.769230769230769,0
0,0,1,57,0,0,0,0,0,0,0,0,0.0,1
0,0,1,1265,2600000,104800000,1,0,1,0,1,20,4.865384615384E-4,0
0,0,1,90,40,59,1,0,1,0,1,4,2.25,0
0,0,1,262,11,0,0,0,0,0,0,0,23.818181818181817,1
0,0,1,544,22,3,0,0,0,0,1,1,24.727272727272727,1
0,0,1,706,19,48,0,0,0,0,1,1,37.1578947368421,1
0,0,1,789,107,1858,0,0,1,0,1,20,7.373831775700935,0
0,0,1,169,7,0,0,0,1,0,0,0,24.142857142857142,1
0,0,1,89,0,0,0,0,1,0,0,0,0.0,1
0,0,1,175,2,0,0,0,0,0,0,0,87.5,1
0,0,1,69,0,0,0,0,1,0,0,0,0.0,1
0,0,1,61,17,211,0,0,1,0,1,12,3.588235294117647,0
0,0,1,41,112,381,0,0,1,0,1,20,0.3660714285714285,0
0,0,1,102,279100,1600000,1,0,1,0,1,20,3.654604084557E-4,0
0,0,1,152,1,0,0,0,1,0,0,0,152.0,1
0,0,1,27,67,727,0,0,0,0,0,0,0.4029850746268656,0
1,0,0,63,18,0,0,0,0,0,0,0,3.5,0
0,0,1,314,13300,134000,0,0,1,0,1,20,0.0236090225563909,0
0,0,1,649,18,0,0,0,0,0,0,0,36.05555555555556,1
0,0,1,12,18,180,0,0,0,0,1,20,0.6666666666666666,0
0,0,1,2607,28,0,0,0,1,0,0,0,93.10714285714286,1
0,0,1,1127,38,0,0,0,0,0,0,0,29.657894736842103,1
0,0,1,9991,613,0,0,0,0,0,0,0,16.298531810766722,1
0,0,1,4210,203,0,0,0,0,0,0,0,20.73891625615764,1
0,0,1,119,2,0,0,0,1,0,0,0,59.5,1
0,0,1,64,1,0,0,0,0,0,0,0,64.0,0
0,0,1,145,1,0,0,0,1,0,0,0,145.0,1
1,0,1,258,9,0,0,0,0,0,0,0,28.666666666666668,0
0,0,1,221,319000,11700000,1,0,1,0,1,20,6.92789968652E-4,0
0,0,1,337,19,0,0,0,0,0,0,0,17.736842105263158,1
0,0,1,80,1,0,0,0,0,0,0,0,80.0,1
0,0,1,56,3,0,0,0,0,0,0,0,18.666666666666668,0
0,0,1,259,1800000,45700000,1,1,1,0,1,20,1.438888888888E-4,0
0,0,1,524,31,22,0,0,1,0,1,3,16.903225806451612,1
0,0,1,121,6,0,0,0,0,0,0,0,20.166666666666668,0
0,0,1,102,0,0,0,0,1,0,0,0,0.0,1
0,0,1,9339,256,0,0,0,1,0,0,0,36.48046875,1
0,0,1,123,1,0,0,0,1,0,0,0,123.0,1
0,0,1,436,5,0,0,0,0,0,0,0,87.2,1
1,0,1,335,212,4628,0,0,0,0,0,0,1.580188679245283,0
0,0,1,80,0,0,0,0,1,0,0,0,0.0,1
0,0,0,153,18,0,0,0,0,0,0,0,8.5,0
0,0,1,64,1200000,11600000,1,0,1,0,1,20,5.333333333333333E-5,0
0,0,1,322,2,0,0,0,0,0,0,0,161.0,1
0,0,1,203,1469,22100,0,0,1,0,1,20,0.1381892443839346,0
0,0,1,51,257,10,0,0,1,0,1,3,0.1984435797665369,0
0,0,1,169,3,0,0,0,0,0,0,0,56.333333333333336,1
0,0,1,242,2,0,0,0,0,0,0,0,121.0,1
0,0,1,140,3,0,0,0,1,0,0,0,46.66666666666666,1
1,0,1,45,8079,270100,0,0,0,0,0,0,0.0055699962866691,0
0,0,1,6296,255,0,0,0,0,0,0,0,24.690196078431374,1
0,0,1,1039,40,0,0,0,0,0,0,0,25.975,1
0,0,1,47,452300,7300000,1,1,1,0,1,20,1.039133318593E-4,0
0,0,1,1438,47,3,0,0,1,0,1,2,30.595744680851062,1
0,0,1,381,8,0,0,0,0,0,0,0,47.625,1
0,0,0,0,0,0,0,0,1,0,0,0,0.0,1
0,0,1,257,2549,25600,1,0,1,0,1,20,0.100823852491173,0
0,0,1,20,359600,3800000,0,0,1,0,1,20,5.5617352614015575E-5,0
0,0,1,478,2677,13000,1,1,0,0,1,20,0.1785580874112813,0
0,0,1,190,24,0,0,0,0,0,0,0,7.916666666666667,1
0,0,1,155,295900,5400000,1,0,1,0,1,20,5.238256167624E-4,0
0,0,1,32,8,4,0,0,0,0,1,1,4.0,0
0,0,0,0,6,0,0,0,0,0,0,0,0.0,1
0,0,1,1800,103,7,0,0,0,0,1,14,17.475728155339805,1
0,0,1,261,28,0,0,0,1,0,1,1,9.321428571428571,1
0,0,1,140,8,2,0,0,0,0,1,1,17.5,1
0,0,0,0,1,0,0,0,1,0,0,0,0.0,1
0,0,1,767,1455,1321,0,0,0,0,1,4,0.5271477663230241,1
0,0,1,88,445900,7000000,1,0,1,0,1,20,1.973536667414E-4,0
0,0,0,0,0,0,0,0,0,0,0,0,0.0,1
0,0,1,152,162,3113,1,0,1,0,1,20,0.9382716049382716,0
0,0,1,29,21,0,1,0,0,0,0,0,1.380952380952381,0
0,0,1,120,1,0,0,0,1,0,0,0,120.0,1
0,0,1,4,1,0,0,0,1,0,0,0,4.0,0
0,0,1,529,5,0,0,0,0,0,0,0,105.8,1
0,1,1,173,1800000,37700000,1,0,1,0,1,9,9.611111111111112E-5,0
0,0,1,74,3,0,0,0,0,0,0,0,24.666666666666668,1
0,0,1,160,0,0,0,0,1,0,0,0,0.0,1
1,0,1,266,21,0,0,0,0,0,0,0,12.666666666666666,0
0,0,1,2909,103,0,0,0,0,0,0,0,28.24271844660194,1
1,0,0,616,14,0,0,0,0,0,0,0,44.0,0
0,0,1,156,2,1,0,0,1,0,1,1,78.0,1
0,0,1,427,45,24,0,0,1,0,1,4,9.488888888888887,1
0,0,1,19,165000,1300000,1,0,1,0,1,20,1.151515151515E-4,0
0,0,1,4133,338,817,0,0,0,0,1,20,12.227810650887577,0
0,0,1,1900,99,2,0,0,0,0,1,1,19.19191919191919,1
0,0,1,109,0,0,0,0,1,0,0,0,0.0,1
0,0,1,46,103,589,1,0,1,0,1,3,0.4466019417475728,0
0,0,1,25,58,456,1,0,1,0,1,2,0.4310344827586206,0
0,0,1,479,25,82,0,0,0,0,1,4,19.16,1
0,0,1,1068,342,2744,0,1,1,0,1,20,3.12280701754386,0
0,0,1,1261,3053,5177,1,0,1,0,1,20,0.4130363576809695,0
0,0,0,0,0,0,0,0,1,0,0,0,0.0,1
0,0,1,1317,5731,582,0,0,1,0,1,16,0.2298028267318094,1
0,0,1,312,128,155,0,0,0,0,1,11,2.4375,0
0,0,1,389,6,0,0,0,1,0,0,0,64.83333333333333,1
1,0,1,1087,1043,10400,0,0,0,0,0,0,1.0421860019175455,0
0,0,1,3527,93,43,0,0,0,0,1,20,37.924731182795696,1
0,0,1,3598,79,0,0,0,0,0,0,0,45.54430379746835,1
0,0,1,45,15,0,0,0,1,0,0,0,3.0,0
0,0,1,65,0,0,0,0,1,0,0,0,0.0,1
0,0,1,989,2237,34300,0,0,1,0,1,20,0.4421099687080912,0
0,0,1,349,3,0,0,0,0,0,0,0,116.33333333333331,1
0,0,1,691,89,1153,0,0,1,0,1,2,7.764044943820225,1
0,0,1,2783,178,426,1,0,1,0,1,8,15.634831460674157,0
0,0,1,67,42200,87400,0,0,1,0,1,17,0.0015876777251184,0
0,0,1,644,7,0,0,0,0,0,0,0,92.0,1
0,0,1,305,3,0,0,0,0,0,0,0,101.66666666666669,1
0,0,1,7,972300,17500000,1,0,1,0,1,20,7.199424046076314E-6,0
0,0,1,438,9,0,0,0,0,0,0,0,48.66666666666666,1
0,0,1,173,2,0,0,0,1,0,0,0,86.5,1
0,0,1,141,132,180,0,0,1,0,1,11,1.068181818181818,0
0,0,1,56,44,806,1,0,1,0,1,4,1.2727272727272727,0
0,0,1,834,29,0,0,0,0,0,0,0,28.75862068965517,1
0,0,1,43,686,6127,1,1,1,0,1,20,0.0626822157434402,0
0,0,1,147,3,8,0,0,0,0,1,20,49.0,1
0,0,1,1162,44,0,0,0,0,0,0,0,26.40909090909091,1
0,0,1,94,2,0,0,0,0,0,0,0,47.0,1
0,0,1,847,39,2,0,0,0,0,1,2,21.71794871794872,1
0,0,1,166,1,0,0,0,1,0,0,0,166.0,1
1,0,1,227,3,0,0,0,0,0,0,0,75.66666666666667,0
0,0,0,0,0,0,0,0,1,0,0,0,0.0,1
0,1,1,184,12400000,143000000,1,0,1,0,0,0,1.4838709677419355E-5,0
0,0,1,124,1,0,0,0,0,0,0,0,124.0,1
0,0,1,370,3,0,0,0,0,0,0,0,123.33333333333331,1
0,0,1,86,0,0,0,0,1,0,0,0,0.0,1
0,0,1,312,32,4,0,0,1,0,1,1,9.75,1
0,0,1,2487,47,0,0,0,0,0,0,0,52.91489361702128,1
0,0,1,177,33,6,0,0,0,0,1,1,5.363636363636363,0
1,0,1,714,1904,18500,0,0,0,0,0,0,0.375,0
0,0,1,81,0,0,0,0,1,0,0,0,0.0,1
0,0,0,0,4,0,0,0,1,0,0,0,0.0,1
0,0,1,152,4,0,0,0,0,0,0,0,38.0,1
0,0,1,59,388800,2700000,1,1,1,0,1,20,1.517489711934E-4,0
0,0,1,1095,34,0,0,0,0,0,0,0,32.205882352941174,1
0,0,1,75,0,0,0,0,1,0,0,0,0.0,1
0,0,1,821,21,0,0,0,0,0,0,0,39.095238095238095,1
0,0,1,113,1,0,0,0,1,0,0,0,113.0,1
0,0,1,263,43,1,0,0,1,0,0,0,6.116279069767442,0
0,0,1,404,5,0,0,0,0,0,0,0,80.8,1
0,0,1,2203,87,5,0,0,1,0,1,1,25.32183908045977,1
0,0,1,1243,39,0,0,0,0,0,0,0,31.871794871794872,1
0,0,1,39,81400,516299,1,0,1,0,1,20,4.791154791154E-4,0
0,0,1,212,0,0,0,0,0,0,0,0,0.0,1
0,0,1,111,0,0,0,0,1,0,0,0,0.0,1
1,0,1,324,74,18,0,0,0,0,0,0,4.378378378378378,0
0,0,1,3800,155,0,0,0,0,0,0,0,24.516129032258064,1
0,0,1,67,26,0,0,0,0,0,0,0,2.576923076923077,0
0,0,1,159,1,0,0,0,1,0,0,0,159.0,1
0,0,1,122,0,0,0,0,1,0,0,0,0.0,1
0,0,1,481,77,4,0,0,0,0,1,1,6.246753246753247,1
0,0,1,1055,36,0,0,0,0,0,0,0,29.30555555555556,1
0,0,1,139,71,204,0,0,0,0,1,6,1.9577464788732395,1
0,0,1,93,0,0,0,0,1,0,0,0,0.0,1
0,0,1,10,18,156,0,0,0,0,1,20,0.5555555555555556,0
0,0,0,0,8,0,0,0,0,0,0,0,0.0,1
0,0,1,79,0,0,0,0,1,0,0,0,0.0,1
0,0,1,92,0,0,0,0,1,0,0,0,0.0,1
0,0,1,1509,80,0,0,0,0,0,0,0,18.8625,1
0,0,1,912,2324,101500,0,0,1,0,1,9,0.3924268502581756,0
0,0,1,190,1,1,0,0,0,0,1,1,190.0,1
0,0,1,19,21,0,0,0,1,0,0,0,0.9047619047619048,0
0,0,1,355,13900,112200,1,0,1,0,1,20,0.0255395683453237,0
0,0,1,139,1900000,40300000,1,0,1,0,1,20,7.31578947368421E-5,0
0,0,1,2,2,0,0,0,0,0,0,0,1.0,0
0,0,1,747,26,33,0,0,0,0,1,4,28.73076923076923,1
1,0,1,23,22,16,0,0,0,0,0,0,1.0454545454545454,0
0,0,1,725,16,0,0,0,0,0,0,0,45.3125,1
0,0,1,353,1,0,0,0,0,0,0,0,353.0,1
0,0,1,940,31,0,0,0,0,0,0,0,30.32258064516129,1
0,0,1,8,366400,3500000,1,1,1,0,1,3,2.1834061135371177E-5,0
0,0,1,240,3,0,0,0,0,0,0,0,80.0,1
0,0,1,69,742,36800,1,0,1,0,1,20,0.0929919137466307,0
0,0,1,1251,45,0,0,0,0,0,0,0,27.8,1
0,0,1,191,5,0,0,1,1,0,0,0,38.2,1
0,0,1,15,2312,42900,0,0,1,0,1,20,0.0064878892733564,0
0,0,1,100,0,0,0,0,1,0,0,0,0.0,1
0,0,1,353,1,0,0,0,0,0,0,0,353.0,1
0,0,1,982,51,0,0,0,0,0,0,0,19.254901960784316,0
0,0,1,407,2600000,98100000,1,1,1,0,1,20,1.565384615384E-4,0
0,0,1,92,0,0,0,0,1,0,0,0,0.0,1
0,0,1,142,9,0,0,0,0,0,0,0,15.77777777777778,0
0,0,1,95,0,0,0,0,1,0,0,0,0.0,1
0,0,0,0,0,0,0,0,1,0,0,0,0.0,1
0,0,0,0,6,0,0,0,0,0,0,0,0.0,1
0,0,1,22,130300,1600000,1,0,1,0,1,20,1.688411358403E-4,0
0,0,1,527,6,0,0,0,0,0,0,0,87.83333333333333,1
0,0,1,662,27,0,0,0,0,0,0,0,24.51851851851852,1
0,0,1,2665,46,0,0,0,1,0,0,0,57.93478260869565,1
0,0,1,299,2,0,0,0,0,0,0,0,149.5,1
0,0,1,194,4,5,0,0,0,0,1,12,48.5,1
0,0,1,3860,188,70,0,0,0,0,1,2,20.53191489361702,1
0,0,1,1081,11,0,0,0,0,0,0,0,98.27272727272728,1
0,0,0,0,0,0,0,0,1,0,0,0,0.0,1
0,0,0,0,0,0,0,0,0,0,0,0,0.0,1
1,0,1,312,11,94,0,0,0,0,0,0,28.363636363636363,0
0,0,1,425,273,11,0,0,1,0,1,2,1.5567765567765568,1
0,0,1,299,18,0,0,0,1,0,0,0,16.61111111111111,1
0,0,1,122,1,0,0,0,1,0,0,0,122.0,1
0,0,1,334,5,0,0,0,0,0,0,0,66.8,1
0,0,1,1904,19400,20100,0,0,1,0,1,20,0.0981443298969072,1
0,0,0,0,1,0,0,0,1,0,0,0,0.0,1
0,0,1,127,1,0,0,0,1,0,0,0,127.0,1
0,0,1,204,1000000,15200000,1,0,1,0,1,20,2.04E-4,0
0,0,1,68,0,0,0,0,1,0,0,0,0.0,1
0,0,1,288,138,1410,1,1,1,0,1,20,2.0869565217391304,0
0,0,1,62,1,0,0,0,0,0,0,0,62.0,1
0,0,1,20,23300,245700,1,1,1,0,1,20,8.583690987124E-4,0
0,0,1,1680,171,7,0,0,1,0,1,5,9.824561403508772,1
0,0,1,415,3,0,0,0,0,0,0,0,138.33333333333334,1
0,0,1,838,29,0,0,0,0,0,0,0,28.89655172413793,1
0,1,1,15,614600,12800000,0,0,1,0,1,20,2.440611780019525E-5,0
0,0,1,798,46,264,0,0,1,0,1,20,17.347826086956523,0
0,0,1,80,39000,214000,1,0,1,0,1,20,0.002051282051282,0
0,0,1,1833,232,4032,1,1,1,0,1,20,7.900862068965517,0
0,0,1,314,12,0,0,0,0,0,0,0,26.166666666666668,1
0,0,1,42,0,0,0,0,0,0,0,0,0.0,1
0,0,0,316,93,0,0,0,0,0,0,0,3.3978494623655915,1
0,0,1,99,0,0,0,0,1,0,0,0,0.0,1
0,0,1,1246,71,0,0,0,0,0,0,0,17.549295774647888,1
1,0,1,12,16,98,0,0,0,0,0,0,0.75,0
0,0,1,531,19,0,0,0,0,0,0,0,27.94736842105263,1
0,0,1,112,0,0,0,0,1,0,0,0,0.0,1
0,0,1,610,23,0,0,0,0,0,0,0,26.52173913043478,1
0,0,1,9998,5111,6761,0,0,1,0,1,12,1.9561729602817453,1
0,0,1,0,2,18,0,0,1,0,1,8,0.0,0
0,0,1,3462,93,0,0,0,0,0,0,0,37.2258064516129,1
0,0,1,127,1,0,0,0,1,0,0,0,127.0,1
0,0,1,731,30,0,0,0,0,0,0,0,24.366666666666667,1
0,0,1,146,2,0,0,0,0,0,0,0,73.0,1
0,0,0,0,0,0,0,0,0,0,0,0,0.0,1
0,0,1,367,5,0,0,0,0,0,0,0,73.4,1
